,genre,metascore,imdbrating,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
98,Horror,49.0,6.0,6.0,61.0,49.0,0.0
99,Crime,77.0,7.2,7.2,84.0,77.0,45000000.0
100,Action,26.0,4.4,4.4,15.0,26.0,10000000.0
101,Drama,87.0,6.7,6.7,89.0,87.0,0.0
102,Action,55.0,6.6,6.6,55.0,55.0,80000000.0
103,Action,0.0,7.8,7.8,100.0,0.0,0.0
104,Comedy,56.0,6.5,6.5,70.0,56.0,15000000.0
105,Drama,61.0,7.0,7.0,82.0,61.0,0.0
106,Comedy,34.0,5.7,5.7,18.0,34.0,52000000.0
107,Adventure,50.0,6.5,6.5,42.0,50.0,30000000.0
108,Drama,43.0,6.3,6.3,28.0,43.0,25000000.0
109,Comedy,65.0,6.3,6.3,72.0,65.0,40000000.0
110,Comedy,56.0,5.9,5.9,42.0,56.0,69000000.0
111,Comedy,46.0,5.4,5.4,31.0,46.0,120000000.0
112,Animation,80.0,7.6,7.6,95.0,80.0,23000000.0
113,Adventure,33.0,4.9,4.9,20.0,33.0,112000000.0
114,Comedy,76.0,7.3,7.3,88.0,76.0,0.0
115,Comedy,36.0,5.0,5.0,17.0,36.0,48000000.0
116,Comedy,52.0,6.1,6.1,52.0,52.0,19000000.0
117,Comedy,64.0,7.4,7.4,83.0,64.0,0.0
118,Comedy,50.0,5.1,5.1,24.0,50.0,0.0
119,Action,71.0,6.4,6.4,71.0,71.0,0.0
120,Drama,82.0,7.3,7.3,89.0,82.0,0.0
121,Drama,59.0,6.2,6.2,55.0,59.0,70000000.0
122,Drama,33.0,6.0,6.0,20.0,33.0,20000000.0
123,Action,31.0,5.6,5.6,19.0,31.0,30000000.0
124,Comedy,59.0,5.8,5.8,68.0,59.0,500000.0
125,Drama,58.0,7.5,7.5,66.0,58.0,0.0
126,Comedy,28.0,5.8,5.8,19.0,28.0,20000000.0
127,Action,22.0,5.6,5.6,12.0,22.0,40000000.0
128,Action,42.0,6.4,6.4,38.0,42.0,52000000.0
129,Action,84.0,7.6,7.6,95.0,84.0,6000000.0
130,Comedy,52.0,6.1,6.1,75.0,52.0,35000000.0
131,Crime,57.0,6.3,6.3,35.0,57.0,0.0
132,Action,41.0,6.8,6.8,33.0,41.0,8000000.0
133,Comedy,25.0,5.6,5.6,17.0,25.0,55000000.0
134,Comedy,51.0,6.3,6.3,54.0,51.0,32000000.0
135,Comedy,67.0,6.3,6.3,70.0,67.0,7000000.0
136,Biography,61.0,7.2,7.2,64.0,61.0,35000000.0
137,Action,67.0,7.5,7.5,97.0,67.0,0.0
138,Action,27.0,5.5,5.5,12.0,27.0,28000000.0
139,Drama,56.0,6.4,6.4,47.0,56.0,50000000.0
140,Action,32.0,6.3,6.3,22.0,32.0,32000000.0
141,Comedy,18.0,3.4,3.4,4.0,18.0,20000000.0
142,Comedy,48.0,6.2,6.2,53.0,48.0,0.0
143,Biography,59.0,7.1,7.1,75.0,59.0,0.0
144,Comedy,64.0,6.2,6.2,65.0,64.0,0.0
